ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Rindelbach,Ellwangen (Jagst),Baden-Würtemberg,48.9879341,10.1281388
Bolheim,Herbrechtingen,Baden-Würtemberg,48.63168735,10.1334432134
Itzelberg,Königsbronn,Baden-Würtemberg,48.72989755,10.1361236377
Schwabsberg,Rainau,Baden-Würtemberg,48.9279431,10.1400273
Rechenberg (Stimpfach),Stimpfach,Baden-Würtemberg,49.0473207,10.141157
Ochsenberg (Königsbronn),Königsbronn,Baden-Würtemberg,48.7469684,10.1420379547
Ellrichshausen (Satteldorf),Satteldorf,Baden-Würtemberg,49.1767317,10.1434487
Mergelstetten,Heidenheim an der Brenz,Baden-Würtemberg,48.6567236,10.155073
Schnaitheim,Heidenheim an der Brenz,Baden-Würtemberg,48.7069037,10.1607494
Mariäkappel,Kreßberg,Baden-Würtemberg,49.1607423,10.1628504
Bissingen (Herbrechtingen),Herbrechtingen,Baden-Würtemberg,48.566681,10.1652295727
Dalkingen,Rainau,Baden-Würtemberg,48.9224706,10.1693204
Ebnat (Aalen),Aalen,Baden-Würtemberg,48.800167,10.1849056
Waldtann,Kreßberg,Baden-Würtemberg,49.1310159,10.185664
Wäldershub,Fichtenau,Baden-Würtemberg,49.0846595,10.1868896
Leukershausen,Kreßberg,Baden-Würtemberg,49.1634105,10.1879175
Waldhausen (Aalen),Aalen,Baden-Würtemberg,48.8236877,10.2021719
Matzenbach (Fichtenau),Fichtenau,Baden-Würtemberg,49.0528448,10.203305
Hürben (Giengen),Giengen an der Brenz,Baden-Würtemberg,48.5922334,10.203963
Stetten ob Lontal,Niederstotzingen,Baden-Würtemberg,48.5531545,10.2046575
Wildenstein (Fichtenau),Fichtenau,Baden-Würtemberg,49.0707442,10.2074985
Lautenbach (Fichtenau),Fichtenau,Baden-Würtemberg,49.0785211,10.2121957
Röhlingen,Ellwangen (Jagst),Baden-Würtemberg,48.9424816,10.2189801
Hülen,Lauchheim,Baden-Würtemberg,48.8589957,10.2230589
Oberstotzingen,Niederstotzingen,Baden-Würtemberg,48.5381605,10.223806
Unterdeufstetten,Fichtenau,Baden-Würtemberg,49.0535973,10.22771
Großkuchen,Heidenheim an der Brenz,Baden-Würtemberg,48.7523628,10.2301911
Marktlustenau,Kreßberg,Baden-Würtemberg,49.1324232,10.2376163
Oggenhausen,Heidenheim an der Brenz,Baden-Würtemberg,48.6720484,10.2384986
Lippach (Westhausen),Westhausen (Württemberg),Baden-Würtemberg,48.89979965,10.2538868594
Pfahlheim,Ellwangen (Jagst),Baden-Würtemberg,48.9643748,10.2565851
Burgberg (Giengen),Giengen an der Brenz,Baden-Würtemberg,48.5813154,10.2570757116
Elchingen auf dem Härtsfeld,Neresheim,Baden-Würtemberg,48.7938936,10.2643467
Bergenweiler,Sontheim an der Brenz,Baden-Würtemberg,48.573843,10.2732182
Hohenmemmingen,Giengen an der Brenz,Baden-Würtemberg,48.6292529,10.2758892
Röttingen (Lauchheim),Lauchheim,Baden-Würtemberg,48.8817192,10.2916655283
Auernheim (Nattheim),Nattheim,Baden-Würtemberg,48.7294854,10.2954402
Brenz an der Brenz,Sontheim an der Brenz,Baden-Würtemberg,48.5641112,10.296589
Fleinheim,Nattheim,Baden-Würtemberg,48.7071655,10.2974644
Sachsenhausen (Giengen),Giengen an der Brenz,Baden-Würtemberg,48.6133991,10.3046172
Dorfmerkingen,Neresheim,Baden-Würtemberg,48.7951522,10.3108963
Baldern (Bopfingen),Bopfingen,Baden-Würtemberg,48.9046216,10.3147215
Unterriffingen,Bopfingen,Baden-Würtemberg,48.8270702,10.3154250396
Aufhausen (Bopfingen),Bopfingen,Baden-Würtemberg,48.8594753,10.3180772
Walxheim,Unterschneidheim,Baden-Würtemberg,48.9437998,10.3203715664
Zöbingen,Unterschneidheim,Baden-Würtemberg,48.9270571,10.3246559705
Oberdorf am Ipf,Bopfingen,Baden-Würtemberg,48.8667291,10.3451288
Ohmenheim,Neresheim,Baden-Würtemberg,48.7767175,10.3523825
Schloßberg (Bopfingen),Bopfingen,Baden-Würtemberg,48.8483416,10.3561529
Flochberg,Bopfingen,Baden-Würtemberg,48.8503038,10.3635874
Ballmertshofen,Dischingen,Baden-Würtemberg,48.6721389,10.372859
Nordhausen (Unterschneidheim),Unterschneidheim,Baden-Würtemberg,48.94541855,10.3851554324
Trugenhofen (Dischingen),Dischingen,Baden-Würtemberg,48.6909127,10.3861431
Frickingen (Dischingen),Dischingen,Baden-Würtemberg,48.731638,10.396504
Neufra an der Donau,Riedlingen,Baden-Würtemberg,48.514922,10.401586
Trochtelfingen (Bopfingen),Bopfingen,Baden-Würtemberg,48.8422303,10.4039808
Zipplingen (Unterschneidheim),Unterschneidheim,Baden-Würtemberg,48.92259355,10.4077840152
Dirgenheim,Kirchheim am Ries,Baden-Würtemberg,48.8902515,10.4081713247
Dunstelkingen,Dischingen,Baden-Würtemberg,48.7181721,10.4129875
Schweindorf (Neresheim),Neresheim,Baden-Würtemberg,48.78380605,10.4138910205
Geislingen (Unterschneidheim),Unterschneidheim,Baden-Würtemberg,48.9433017,10.4240439392
Goldburghausen,Riesbürg,Baden-Würtemberg,48.8694958,10.4274747324
Pflaumloch,Riesbürg,Baden-Würtemberg,48.84990255,10.4315956985
Utzmemmingen,Riesbürg,Baden-Würtemberg,48.8289513,10.4361142
Benzenzimmern,Kirchheim am Ries,Baden-Würtemberg,48.8900701,10.4365738654
Demmingen,Dischingen,Baden-Würtemberg,48.6765656,10.4378633
Unterwilflingen,Unterschneidheim,Baden-Würtemberg,48.91981425,10.4381212231
Eglingen (Dischingen),Dischingen,Baden-Würtemberg,48.7156677,10.4386175
Neunstetten (Krautheim),Krautheim (Jagst),Baden-Würtemberg,49.26222,10.45818
Fohrenbühl,Lauterbach (Schwarzwald),Baden-Würtemberg,50.39118,11.12309
Oberhausen (Rheinhausen),Rheinhausen (Breisgau),Baden-Würtemberg,51.498071,6.862345
Rheinweiler,Bad Bellingen,Baden-Würtemberg,47.7102932,7.5329468
Istein,Efringen-Kirchen,Baden-Würtemberg,47.6584833,7.5396199
Blansingen,Efringen-Kirchen,Baden-Würtemberg,47.6909447,7.5404675165
Bamlach,Bad Bellingen,Baden-Würtemberg,47.7173049,7.5473468
Huttingen,Efringen-Kirchen,Baden-Würtemberg,47.6734344,7.5488317228
Steinenstadt,Neuenburg am Rhein,Baden-Würtemberg,47.7687691,7.5549572
Welmlingen,Efringen-Kirchen,Baden-Würtemberg,47.6900902,7.5618118
Wintersweiler,Efringen-Kirchen,Baden-Würtemberg,47.67448385,7.5670049673
Zienken,Neuenburg am Rhein,Baden-Würtemberg,47.84537075,7.5828994699
Grißheim,Neuenburg am Rhein,Baden-Würtemberg,47.87692015,7.5867888053
Mappach (Efringen-Kirchen),Efringen-Kirchen,Baden-Würtemberg,47.68197385,7.5981231903
